"ID","EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift","ModelYear"
1,3.5,6,"A5",32.4,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0,2010
2,3.8,6,"A7",33.8482,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2010
3,3.5,6,"S6",28.7,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2010
4,4.3,6,"A4",27.8055,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0,2010
5,3.5,6,"A7",28.6683,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
6,4.4,8,"S6",29.8378,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2011
7,4.6,8,"A6",34.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
8,2,4,"M5",46.4387,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
9,2.2,4,"A4",46.8,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
10,3.5,6,"AV",33.7,"NaturallyAspirated",8,0,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
11,4.2,8,"AM6",25.0451,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
12,5.7,8,"A5",27.2941,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2011
13,4,8,"M6",28.4,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2011
14,1.4,4,"AV",52.7496,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
